,symbol,name,reportDate,fiscalDateEnding,estimate,currency
261,ALLE,Allegion plc,2022-04-20,2022-03-31,0.99,USD
268,ALLY,Ally Financial Inc,2022-04-14,2022-03-31,1.95,USD
272,ALOT,AstroNova Inc,2022-03-23,2022-01-31,0.01,USD
275,ALRM,Alarm.com Holdings Inc,2022-05-02,2022-03-31,0.46,USD
278,ALRS,Alerus Financial Corp,2022-04-26,2022-03-31,0.54,USD
281,ALSN,Allison Transmission Holdings Inc,2022-04-26,2022-03-31,1.15,USD
284,ALTG,Alta Equipment Group Inc - Class A,2022-03-16,2021-12-31,0.04,USD
286,ALTO,Alto Ingredients Inc,2022-03-08,2021-12-31,0.31,USD
289,ALV,Autoliv Inc,2022-04-21,2022-03-31,1.21,USD
299,AM,Antero Midstream Corp,2022-04-26,2022-03-31,0.19,USD
300,AMAL,Amalgamated Financial Corp,2022-04-20,2022-03-31,0.39,USD
301,AMAT,Applied Materials Inc,2022-05-19,2022-04-30,1.91,USD
302,AMBA,Ambarella Inc,2022-02-28,2022-01-31,0.42,USD
308,AMCR,Amcor Plc,2022-05-02,2022-03-31,0.2,USD
309,AMCX,AMC Networks Inc - Class A,2022-05-05,2022-03-31,2.65,USD
310,AMD,Advanced Micro Devices Inc,2022-04-25,2022-03-31,0.9,USD
311,AME,Ametek Inc,2022-05-02,2022-03-31,1.27,USD
312,AMED,Amedisys Inc,2022-04-26,2022-03-31,1.23,USD
313,AMEH,Apollo Medical Holdings Inc,2022-05-03,2022-03-31,0.28,USD
315,AMG,Affiliated Managers Group Inc,2022-05-02,2022-03-31,4.41,USD
316,AMGN,AMGEN Inc,2022-04-25,2022-03-31,4.18,USD
317,AMH,American Homes 4 Rent - Class A,2022-05-04,2022-03-31,0.11,USD
322,AMN,AMN Healthcare Services Inc,2022-05-04,2022-03-31,3.19,USD
323,AMNB,American National Bankshares Inc,2022-04-20,2022-03-31,0.75,USD
325,AMOT,Allied Motion Technologies Inc,2022-03-08,2021-12-31,0.24,USD
327,AMP,Ameriprise Financial Inc,2022-04-25,2022-03-31,6.06,USD
330,AMPH,Amphastar Pharmaceuticals Inc,2022-03-14,2021-12-31,0.37,USD
332,AMPY,Amplify Energy Corp,2022-03-09,2021-12-31,0.26,USD
336,AMRC,Ameresco Inc - Class A,2022-02-28,2021-12-31,0.42,USD
338,AMRK,A-Mark Precious Metals Inc,2022-05-10,2022-03-31,1.47,USD
343,AMRX,Amneal Pharmaceuticals Inc - Class A,2022-03-02,2021-12-31,0.2,USD
347,AMSF,Amerisafe Inc,2022-04-27,2022-03-31,0.69,USD
348,AMT,American Tower Corp,2022-04-27,2022-03-31,1.26,USD
349,AMTB,Amerant Bancorp Inc - Class A,2022-04-26,2022-03-31,0.42,USD
351,AMWD,American Woodmark Corp,2022-05-25,2022-04-30,1.65,USD
353,AMZN,Amazon.com Inc,2022-04-27,2022-03-31,8.5,USD
354,AN,Autonation Inc,2022-04-18,2022-03-31,5.03,USD
359,ANCUF,ANCUF,2022-03-15,2022-01-31,0.58,USD
360,ANDE,Andersons Inc,2022-05-02,2022-03-31,0.51,USD
363,ANET,Arista Networks Inc,2022-05-02,2022-03-31,0.8,USD
364,ANF,Abercrombie & Fitch Co. - Class A,2022-03-02,2022-01-31,1.27,USD
372,ANIP,ANI Pharmaceuticals Inc,2022-03-07,2021-12-31,0.74,USD
378,ANTM,Anthem Inc,2022-04-19,2022-03-31,7.75,USD
383,AON,Aon plc. - Class A,2022-04-28,2022-03-31,4.8,USD
385,AOS,A.O. Smith Corp,2022-04-27,2022-03-31,0.74,USD
386,AOSL,Alpha & Omega Semiconductor Ltd,2022-04-11,2022-03-31,1.18,USD
387,AOUT,American Outdoor Brands Inc,2022-03-15,2022-01-31,0.46,USD
390,APAM,Artisan Partners Asset Management Inc - Class A,2022-04-25,2022-03-31,1.11,USD
391,APD,Air Products & Chemicals Inc,2022-05-09,2022-03-31,2.37,USD
393,APEI,American Public Education Inc,2022-03-02,2021-12-31,0.35,USD
396,APG,APi Group Corporation,2022-03-22,2021-12-31,0.26,USD
398,APH,Amphenol Corp - Class A,2022-04-27,2022-03-31,0.61,USD
406,APOG,Apogee Enterprises Inc,2022-04-06,2022-02-28,0.71,USD
411,APR,Apria Inc,2022-03-28,2021-12-31,0.45,USD
422,APTV,Aptiv PLC,2022-05-04,2022-03-31,0.77,USD
432,AQN,Algonquin Power & Utilities Corp,2022-03-03,2021-12-31,0.21,USD
437,AQUA,Evoqua Water Technologies Corp,2022-05-03,2022-03-31,0.19,USD
438,AR,Antero Resources Corp,2022-04-26,2022-03-31,0.97,USD
442,ARCB,ArcBest Corp,2022-05-02,2022-03-31,2.14,USD
443,ARCC,Ares Capital Corp,2022-04-26,2022-03-31,0.47,USD
444,ARCE,Arco Platform Ltd - Class A,2022-03-14,2021-12-31,0.3,USD
446,ARCO,Arcos Dorados Holdings Inc - Class A,2022-03-16,2021-12-31,0.16,USD
455,ARE,Alexandria Real Estate Equities Inc,2022-04-25,2022-03-31,0.93,USD
456,ARES,Ares Management Corp - Class A,2022-04-27,2022-03-31,0.7,USD
460,ARGO,Argo Group International Holdings Ltd,2022-05-02,2022-03-31,1.08,USD
465,ARHS,Arhaus Inc Class A,2022-03-30,2021-12-31,0.04,USD
467,ARI,Apollo Commercial Real Estate Finance Inc,2022-04-20,2022-03-31,0.33,USD
472,ARLP,Alliance Resource Partners LP,2022-04-25,2022-03-31,0.57,USD
473,ARMK,Aramark,2022-05-09,2022-03-31,0.22,USD
477,ARNC,Arconic Corporation,2022-05-02,2022-03-31,0.5,USD
479,AROC,Archrock Inc,2022-04-27,2022-03-31,0.05,USD
480,AROW,Arrow Financial Corp,2022-04-25,2022-03-31,0.71,USD
484,ARR,ARMOUR Residential REIT Inc,2022-04-19,2022-03-31,0.27,USD
489,ARTNA,Artesian Resources Corp - Class A,2022-03-08,2021-12-31,0.35,USD
494,ARW,Arrow Electronics Inc,2022-05-04,2022-03-31,4.55,USD
498,ASB,Associated Banc-Corp,2022-04-20,2022-03-31,0.37,USD
500,ASGN,ASGN Inc,2022-04-26,2022-03-31,1.36,USD
502,ASH,Ashland Global Holdings Inc,2022-04-26,2022-03-31,1.16,USD
503,ASIX,AdvanSix Inc,2022-04-28,2022-03-31,1.58,USD
504,ASLE,AerSale Corp,2022-03-14,2021-12-31,0.16,USD
507,ASM,Avino Silver & Gold Mines Ltd,2022-03-01,2021-12-31,0.02,USD
512,ASO,Academy Sports and Outdoors Inc,2022-03-28,2022-01-31,1.38,USD
519,ASRT,Assertio Holdings Inc,2022-03-09,2021-12-31,0.12,USD
523,ASTE,Astec Industries Inc,2022-02-28,2021-12-31,0.02,USD
529,ASYS,Amtech Systems Inc,2022-05-03,2022-03-31,0.09,USD
534,ATCO,Atlas Corp,2022-05-02,2022-03-31,0.41,USD
535,ATCX,Atlas Technical Consultants Inc - Class A,2022-03-05,2021-12-31,0.12,USD
538,ATEN,A10 Networks Inc,2022-04-25,2022-03-31,0.1,USD
541,ATGE,Adtalem Global Education Inc,2022-04-27,2022-03-31,0.87,USD
551,ATI,Allegheny Technologies Inc,2022-04-27,2022-03-31,0.2,USD
553,ATKR,Atkore Inc,2022-04-27,2022-03-31,3.75,USD
557,ATO,Atmos Energy Corp,2022-05-03,2022-03-31,2.35,USD
560,ATR,Aptargroup Inc,2022-04-28,2022-03-31,0.96,USD
566,ATRS,Antares Pharma Inc,2022-02-28,2021-12-31,0.01,USD
570,ATTO,Atento S.A.,2022-03-30,2021-12-31,0.23,USD
572,ATUS,Altice USA Inc - Class A,2022-04-26,2022-03-31,0.32,USD
577,ATVI,Activision Blizzard Inc,2022-05-02,2022-03-31,0.72,USD
583,AUB,Atlantic Union Bankshares Corp,2022-04-20,2022-03-31,0.61,USD
586,AUDC,Audiocodes,2022-04-25,2022-03-31,0.37,USD
599,AVA,Avista Corp,2022-05-03,2022-03-31,0.92,USD
600,AVAV,AeroVironment Inc,2022-03-07,2022-01-31,0.3,USD
601,AVB,Avalonbay Communities Inc,2022-04-26,2022-03-31,0.94,USD
604,AVD,American Vanguard Corp,2022-03-09,2021-12-31,0.24,USD
611,AVGO,Broadcom Inc,2022-03-03,2022-01-31,8.08,USD
612,AVID,Avid Technology Inc,2022-03-01,2021-12-31,0.42,USD
614,AVIR,Atea Pharmaceuticals Inc,2022-03-28,2021-12-31,0.17,USD
617,AVNS,Avanos Medical Inc,2022-05-05,2022-03-31,0.27,USD
618,AVNT,Avient Corp,2022-04-28,2022-03-31,0.96,USD
619,AVNW,Aviat Networks Inc,2022-05-03,2022-03-31,0.55,USD
620,AVO,Mission Produce Inc,2022-03-08,2022-01-31,0.05,USD
625,AVT,Avnet Inc,2022-04-26,2022-03-31,1.52,USD
627,AVTR,Avantor Inc,2022-04-26,2022-03-31,0.36,USD
631,AVY,Avery Dennison Corp,2022-04-26,2022-03-31,2.18,USD
632,AVYA,Avaya Holdings Corp,2022-05-04,2022-03-31,0.61,USD
635,AWI,Armstrong World Industries Inc,2022-04-25,2022-03-31,1.15,USD
636,AWK,American Water Works Co. Inc,2022-05-02,2022-03-31,0.75,USD
637,AWR,American States Water Company,2022-05-02,2022-03-31,0.54,USD
643,AX,Axos Financial Inc,2022-04-27,2022-03-31,0.99,USD
647,AXL,American Axle & Manufacturing Holdings Inc,2022-05-05,2022-03-31,0.11,USD
651,AXON,Axon Enterprise Inc,2022-05-04,2022-03-31,0.37,USD
652,AXP,American Express Company,2022-04-21,2022-03-31,2.48,USD
654,AXS,Axis Capital Holdings Ltd,2022-04-26,2022-03-31,1.8,USD
657,AXTA,Axalta Coating Systems Ltd,2022-04-25,2022-03-31,0.27,USD
658,AXTI,AXT Inc,2022-04-26,2022-03-31,0.06,USD
663,AYI,Acuity Brands Inc,2022-03-29,2022-02-28,2.35,USD
670,AZEK,AZEK Company Inc - Class A,2022-05-11,2022-03-31,0.3,USD
672,AZO,Autozone Inc,2022-05-23,2022-02-28,17.79,USD
673,AZPN,Aspen Technology Inc,2022-04-26,2022-03-31,1.36,USD
674,AZTA,Azenta Inc,2022-05-09,2022-03-31,0.11,USD
678,AZZ,AZZ Inc,2022-04-21,2022-02-28,0.69,USD
679,B,Barnes Group Inc,2022-04-28,2022-03-31,0.42,USD
681,BABA,Alibaba Group Holding Ltd,2022-05-11,2022-03-31,1.46,CNY
683,BAC,Bank Of America Corp,2022-04-18,2022-03-31,0.78,USD
686,BAH,Booz Allen Hamilton Holding Corp - Class A,2022-05-19,2022-03-31,0.85,USD
687,BALY,Ballys Corporation,2022-05-09,2022-03-31,0.44,USD
689,BANC,Banc of California Inc,2022-04-20,2022-03-31,0.34,USD
691,BANF,Bancfirst Corp,2022-04-13,2022-03-31,0.94,USD
692,BANR,Banner Corp,2022-04-19,2022-03-31,1.1,USD
