,symbol,name,reportDate,fiscalDateEnding,estimate,currency
1088,CASH,Meta Financial Group Inc,2022-04-25,2022-03-31,1.97,USD
1092,CASY,Casey`s General Stores Inc,2022-03-08,2022-01-31,1.45,USD
1093,CAT,Caterpillar Inc,2022-04-27,2022-03-31,2.6,USD
1096,CATC,Cambridge Bancorp,2022-04-19,2022-03-31,1.81,USD
1098,CATY,Cathay General Bancorp,2022-04-25,2022-03-31,0.92,USD
1103,CB,Chubb Ltd,2022-04-25,2022-03-31,3.59,USD
1104,CBAN,Colony Bankcorp Inc,2022-04-20,2022-03-31,0.41,USD
1109,CBFV,CB Financial Services Inc,2022-05-02,2022-03-31,0.51,USD
1114,CBNK,Capital Bancorp Inc,2022-04-20,2022-03-31,0.59,USD
1116,CBOE,Cboe Global Markets Inc,2022-04-28,2022-03-31,1.61,USD
1118,CBRE,CBRE Group Inc - Class A,2022-04-27,2022-03-31,1.08,USD
1119,CBRL,Cracker Barrel Old Country Store Inc,2022-05-23,2022-02-28,1.61,USD
1120,CBSH,Commerce Bancshares Inc,2022-04-13,2022-03-31,0.86,USD
1121,CBT,Cabot Corp,2022-05-02,2022-03-31,1.41,USD
1122,CBTX,CBTX Inc,2022-04-26,2022-03-31,0.33,USD
1123,CBU,Community Bank System Inc,2022-04-25,2022-03-31,0.77,USD
1129,CBZ,Cbiz Inc,2022-04-27,2022-03-31,0.96,USD
1130,CC,Chemours Company,2022-05-02,2022-03-31,0.89,USD
1132,CCB,Coastal Financial Corp,2022-04-25,2022-03-31,0.43,USD
1134,CCBG,Capital City Bank Group Inc,2022-04-25,2022-03-31,0.4,USD
1141,CCI,Crown Castle International Corp,2022-04-19,2022-03-31,0.94,USD
1143,CCK,Crown Holdings Inc,2022-04-18,2022-03-31,1.82,USD
1147,CCMP,CMC Materials Inc,2022-05-03,2022-03-31,1.82,USD
1149,CCNE,CNB Financial Corp (PA),2022-04-18,2022-03-31,0.75,USD
1151,CCOI,Cogent Communications Holdings Inc,2022-04-26,2022-03-31,0.22,USD
1153,CCRD,CoreCard Corporation - Class A,2022-05-02,2022-03-31,0.8,USD
1154,CCRN,Cross Country Healthcares Inc,2022-05-03,2022-03-31,1.07,USD
1157,CD,Chindata Group Holdings Ltd,2022-03-22,2021-12-31,0.01,CNY
1161,CDAY,Ceridian HCM Holding Inc,2022-05-03,2022-03-31,0.08,USD
1165,CDEV,Centennial Resource Development Inc - Class A,2022-05-02,2022-03-31,0.28,USD
1166,CDK,CDK Global Inc,2022-05-04,2022-03-31,0.74,USD
1169,CDMO,Avid Bioservices Inc,2022-03-07,2022-01-31,0.04,USD
1170,CDNA,Caredx Inc,2022-05-03,2022-03-31,0.06,USD
1172,CDNS,Cadence Design Systems Inc,2022-04-25,2022-03-31,1.02,USD
1179,CDW,CDW Corp,2022-05-03,2022-03-31,2.01,USD
1185,CE,Celanese Corp - Series A,2022-04-20,2022-03-31,4.5,USD
1190,CECE,Ceco Environmental Corp,2022-03-01,2021-12-31,0.08,USD
1193,CEIX,Consol Energy Inc,2022-04-11,2022-03-31,1.76,USD
1195,CELH,Celsius Holdings Inc,2022-03-09,2021-12-31,0.04,USD
1201,CENT,Central Garden & Pet Company,2022-05-03,2022-03-31,1.18,USD
1203,CEQP,Crestwood Equity Partners LP,2022-04-25,2022-03-31,0.43,USD
1211,CERN,Cerner Corp,2022-05-03,2022-03-31,0.87,USD
1213,CERT,Certara Inc,2022-03-01,2021-12-31,0.08,USD
1219,CEVA,Ceva Inc,2022-05-09,2022-03-31,0.17,USD
1220,CF,CF Industries Holdings Inc,2022-05-04,2022-03-31,4.17,USD
1221,CFB,Crossfirst Bankshares Inc,2022-04-20,2022-03-31,0.3,USD
1222,CFBK,CF Bankshares Inc,2022-05-02,2022-03-31,0.73,USD
1224,CFFN,Capitol Federal Financial,2022-04-27,2022-01-31,0.14,USD
1225,CFG,Citizens Financial Group Inc,2022-04-19,2022-03-31,0.96,USD
1232,CFR,Cullen Frost Bankers Inc,2022-04-27,2022-03-31,1.46,USD
1237,CFX,Colfax Corp,2022-04-27,2022-03-31,0.54,USD
1240,CG,Carlyle Group Inc (The),2022-04-27,2022-03-31,1.13,USD
1242,CGBD,TCG BDC Inc,2022-05-02,2022-03-31,0.39,USD
1251,CGNX,Cognex Corp,2022-05-04,2022-03-31,0.38,USD
1255,CHCO,City Holding Company,2022-04-19,2022-03-31,1.25,USD
1256,CHCT,Community Healthcare Trust Inc,2022-05-02,2022-03-31,0.25,USD
1257,CHD,Church & Dwight Co. Inc,2022-04-27,2022-03-31,0.78,USD
1258,CHDN,Churchill Downs Inc,2022-04-19,2022-03-31,1.31,USD
1260,CHEF,Chefs` Warehouse Inc,2022-04-26,2022-03-31,0.02,USD
1263,CHGG,Chegg Inc,2022-05-02,2022-03-31,0.24,USD
1264,CHH,Choice Hotels International Inc,2022-05-09,2022-03-31,0.9,USD
1267,CHK,Chesapeake Energy Corp - New,2022-05-09,2022-03-31,2.31,USD
1268,CHKP,Check Point Software Technolgies,2022-04-25,2022-03-31,1.54,USD
1271,CHMG,Chemung Financial Corp,2022-04-20,2022-03-31,1.23,USD
1272,CHMI,Cherry Hill Mortgage Investment Corporation,2022-03-07,2021-12-31,0.28,USD
1274,CHNG,Change Healthcare Inc,2022-05-24,2022-03-31,0.39,USD
1277,CHRA,Charah Solutions Inc,2022-03-23,2021-12-31,0.06,USD
1281,CHRW,C.H. Robinson Worldwide Inc,2022-04-25,2022-03-31,1.54,USD
1282,CHS,Chico`s Fas Inc,2022-02-28,2021-11-30,0.05,USD
1283,CHS,Chico`s Fas Inc,2022-03-01,2022-02-28,0.05,USD
1285,CHTR,Charter Communications Inc - Class A,2022-04-28,2022-03-31,6.68,USD
1286,CHUY,Chuy`s Holdings Inc,2022-05-04,2022-03-31,0.3,USD
1290,CHX,ChampionX Corporation,2022-04-26,2022-03-31,0.21,USD
1291,CI,Cigna Corp,2022-05-06,2022-03-31,5.17,USD
1295,CIEN,CIENA Corp,2022-03-07,2022-01-31,0.45,USD
1297,CIGI,Colliers International Group Inc,2022-05-02,2022-03-31,1.21,USD
1298,CIM,Chimera Investment Corp,2022-05-03,2022-03-31,0.38,USD
1299,CINF,Cincinnati Financial Corp,2022-04-26,2022-03-31,1.39,USD
1303,CIR,Circor International Inc,2022-03-02,2021-12-31,0.62,USD
1306,CIVB,Civista Bancshares Inc,2022-04-21,2022-03-31,0.63,USD
1307,CIVI,Civitas Resources Inc New,2022-02-28,2021-12-31,1.69,USD
1313,CJREF,CJREF,2022-04-07,2022-02-28,0.08,CAD
1316,CL,Colgate-Palmolive Company,2022-04-28,2022-03-31,0.75,USD
1317,CLAR,Clarus Corp,2022-03-07,2021-12-31,0.36,USD
1319,CLB,Core Laboratories N.V.,2022-04-19,2022-03-31,0.2,USD
1320,CLBK,Columbia Financial Inc,2022-04-26,2022-03-31,0.2,USD
1327,CLF,Cleveland-Cliffs Inc,2022-04-20,2022-03-31,1.89,USD
1328,CLFD,Clearfield Inc,2022-04-20,2022-03-31,0.5,USD
1333,CLH,Clean Harbors Inc,2022-05-03,2022-03-31,0.69,USD
1348,CLR,Continental Resources Inc (OKLA),2022-04-26,2022-03-31,1.78,USD
1352,CLSD,Clearside Biomedical Inc,2022-03-08,2021-12-31,0.16,USD
1354,CLSK,Cleanspark Inc,2022-05-04,2022-03-31,0.36,USD
1360,CLVT,Clarivate Plc,2022-03-01,2021-12-31,0.21,USD
1362,CLW,Clearwater Paper Corp,2022-05-03,2022-03-31,0.87,USD
1363,CLX,Clorox Company,2022-04-28,2022-03-31,1.04,USD
1367,CMA,Comerica Inc,2022-04-20,2022-03-31,1.37,USD
1368,CMBM,Cambium Networks Corp,2022-05-04,2022-03-31,0.14,USD
1369,CMC,Commercial Metals Company,2022-03-16,2022-02-28,1.26,USD
1373,CMCO,Columbus Mckinnon Corp,2022-05-24,2022-03-31,0.78,USD
1374,CMCSA,Comcast Corp - Class A,2022-04-27,2022-03-31,0.8,USD
1379,CME,CME Group Inc - Class A,2022-04-26,2022-03-31,1.9,USD
1380,CMG,Chipotle Mexican Grill,2022-04-19,2022-03-31,5.67,USD
1382,CMI,Cummins Inc,2022-05-02,2022-03-31,3.7,USD
1392,CMS,CMS Energy Corporation,2022-04-27,2022-03-31,1.07,USD
1396,CNA,CNA Financial Corp,2022-05-02,2022-03-31,1.25,USD
1399,CNC,Centene Corp,2022-04-25,2022-03-31,1.68,USD
1401,CNDT,Conduent Inc,2022-05-03,2022-03-31,0.07,USD
1407,CNMD,Conmed Corp,2022-04-26,2022-03-31,0.61,USD
1408,CNNE,Cannae Holdings Inc,2022-05-09,2022-03-31,0.01,USD
1411,CNO,CNO Financial Group Inc,2022-04-26,2022-03-31,0.57,USD
1412,CNOB,ConnectOne Bancorp Inc,2022-04-27,2022-03-31,0.76,USD
1413,CNP,Centerpoint Energy Inc,2022-05-04,2022-03-31,0.5,USD
1416,CNQ,Canadian Natural Resources Ltd,2022-03-03,2021-12-31,1.65,USD
1421,CNS,Cohen & Steers Inc,2022-04-19,2022-03-31,1.03,USD
1422,CNSL,Consolidated Communications Holdings Inc,2022-03-03,2021-12-31,0.04,USD
1429,CNTY,Century Casinos Inc,2022-03-11,2021-12-31,0.23,USD
1431,CNX,CNX Resources Corp,2022-04-27,2022-03-31,0.53,USD
1432,CNXC,Concentrix Corporation,2022-03-22,2022-02-28,2.71,USD
1433,CNXN,PC Connection Inc,2022-05-04,2022-03-31,0.56,USD
1438,COF,Capital One Financial Corp,2022-04-25,2022-03-31,5.53,USD
1445,COHR,Coherent Inc,2022-05-10,2022-03-31,2.35,USD
1446,COHU,Cohu Inc,2022-04-27,2022-03-31,0.56,USD
1447,COKE,Coca-Cola Consolidated Inc,2022-05-09,2022-03-31,7.15,USD
1448,COLB,Columbia Banking System Inc,2022-04-27,2022-03-31,0.68,USD
1451,COLL,Collegium Pharmaceutical Inc,2022-05-04,2022-03-31,1.07,USD
1452,COLM,Columbia Sportswear Company,2022-04-28,2022-03-31,0.86,USD
1453,COMM,CommScope Holding Company Inc,2022-05-04,2022-03-31,0.21,USD
1456,CONE,CyrusOne Inc,2022-04-26,2022-03-31,0.07,USD
1457,CONN,Conns Inc,2022-03-29,2022-01-31,0.48,USD
1458,COO,Cooper Companies Inc,2022-03-03,2022-01-31,3.1,USD
1459,COOP,Mr. Cooper Group Inc,2022-04-27,2022-03-31,0.95,USD
1460,COP,Conoco Phillips,2022-05-02,2022-03-31,2.4,USD
1466,CORT,Corcept Therapeutics Inc,2022-05-04,2022-03-31,0.23,USD
1468,COST,Costco Wholesale Corp,2022-03-03,2021-12-31,2.74,USD
1469,COST,Costco Wholesale Corp,2022-05-26,2022-03-31,2.74,USD
1470,COTY,Coty Inc - Class A,2022-05-09,2022-03-31,0.01,USD
1471,COUP,Coupa Software Inc,2022-03-14,2022-01-31,0.05,USD
1473,COWN,Cowen Inc - Class A,2022-04-27,2022-03-31,1.26,USD
1475,CPA,Copa Holdings S.A. - Class A,2022-05-03,2022-03-31,0.54,USD
1476,CPB,Campbell Soup Company,2022-03-08,2022-01-31,0.69,USD
1477,CPE,Callon Petroleum Company,2022-05-03,2022-03-31,3.1,USD
1478,CPF,Central Pacific Financial Corp,2022-04-26,2022-03-31,0.54,USD
1479,CPG,Crescent Point Energy Corp,2022-03-03,2021-12-31,0.18,USD
1487,CPK,Chesapeake Utilities Corp,2022-05-02,2022-03-31,2.04,USD
1490,CPLP,Capital Product Partners L P,2022-04-27,2022-03-31,0.95,USD
1492,CPRI,Capri Holdings Ltd,2022-05-24,2022-03-31,0.82,USD
1493,CPRT,Copart Inc,2022-05-17,2022-04-30,1.15,USD
1494,CPRX,Catalyst Pharmaceuticals Inc,2022-03-16,2021-12-31,0.12,USD
1497,CPSI,Computer Programs & Systems Inc,2022-05-09,2022-03-31,0.68,USD
1499,CPT,Camden Property Trust,2022-04-27,2022-03-31,0.42,USD
1504,CQP,Cheniere Energy Partners LP,2022-05-02,2022-03-31,0.91,USD
1505,CR,Crane Company,2022-05-02,2022-03-31,1.68,USD
1506,CRAI,CRA International Inc,2022-03-02,2021-12-31,1.05,USD
1508,CRAWA,CRAWA,2022-03-15,2021-12-31,0.34,USD
1513,CRCT,Cricut Inc - Class A,2022-03-08,2021-12-31,0.22,USD
1521,CRK,Comstock Resources Inc,2022-05-02,2022-03-31,0.47,USD
1522,CRL,Charles River Laboratories International Inc,2022-05-02,2022-03-31,2.72,USD
1523,CRLBF,CRLBF,2022-03-23,2021-12-31,0.03,USD
1527,CRM,Salesforce.Com Inc,2022-03-01,2022-01-31,0.75,USD
1531,CRMT,Americas Car Mart Inc,2022-05-23,2022-04-30,3.11,USD
1532,CRNC,Cerence Inc,2022-05-09,2022-03-31,0.35,USD
1538,CROX,Crocs Inc,2022-04-25,2022-03-31,1.52,USD
1544,CRSR,Corsair Gaming Inc,2022-05-02,2022-03-31,0.28,USD
1549,CRTO,Criteo S.A,2022-05-03,2022-03-31,0.45,USD
1550,CRUS,Cirrus Logic Inc,2022-04-27,2022-03-31,1.4,USD
1554,CRWD,Crowdstrike Holdings Inc - Class A,2022-03-09,2022-01-31,0.2,USD
1557,CSBR,Champions Oncology Inc,2022-03-09,2022-01-31,0.02,USD
1559,CSGP,Costar Group Inc,2022-04-26,2022-03-31,0.28,USD
1560,CSGS,CSG Systems International Inc,2022-05-03,2022-03-31,0.79,USD
1563,CSIQ,Canadian Solar Inc,2022-03-16,2021-12-31,0.33,USD
1565,CSL,Carlisle Companies Inc,2022-04-20,2022-03-31,2.52,USD
1576,CSTE,Caesarstone Ltd,2022-05-03,2022-03-31,0.09,USD
1580,CSTR,CapStar Financial Holdings Inc,2022-04-11,2022-03-31,0.44,USD
1583,CSV,Carriage Services Inc,2022-04-19,2022-03-31,0.91,USD
1584,CSWC,Capital Southwest Corp,2022-05-23,2022-03-31,0.48,USD
1585,CSWI,CSW Industrials Inc,2022-05-18,2022-03-31,1.03,USD
1586,CSX,CSX Corp,2022-04-18,2022-03-31,0.4,USD
1588,CTAS,Cintas Corporation,2022-03-15,2022-02-28,2.42,USD
1590,CTBI,Community Trust Bancorp Inc,2022-04-19,2022-03-31,0.96,USD
1593,CTG,Computer Task Group Inc,2022-04-27,2022-03-31,0.14,USD
1594,CTHR,Charles & Colvard Ltd,2022-05-04,2022-03-31,0.01,USD
1598,CTLT,Catalent Inc,2022-05-02,2022-03-31,0.94,USD
1602,CTRA,Coterra Energy Inc,2022-04-27,2022-03-31,0.89,USD
1603,CTRE,CareTrust REIT Inc,2022-05-04,2022-03-31,0.23,USD
1604,CTRN,Citi Trends Inc,2022-03-14,2022-02-28,1.07,USD
1606,CTS,CTS Corp,2022-04-27,2022-03-31,0.52,USD
1609,CTSH,Cognizant Technology Solutions Corp - Class A,2022-05-03,2022-03-31,1.04,USD
1613,CTVA,Corteva Inc,2022-05-02,2022-03-31,0.83,USD
1614,CTXS,Citrix Systems Inc,2022-04-27,2022-03-31,1.17,USD
1618,CUBI,Customers Bancorp Inc,2022-04-26,2022-03-31,1.98,USD
1621,CULP,Culp Inc,2022-03-01,2022-02-28,0.08,USD
1627,CURO,CURO Group Holdings Corp,2022-05-02,2022-03-31,0.17,USD
1629,CUZ,Cousins Properties Inc,2022-04-27,2022-03-31,0.19,USD
1633,CVBF,CVB Financial Corp,2022-04-19,2022-03-31,0.3,USD
1634,CVCO,Cavco Industries Inc,2022-05-24,2022-03-31,4.81,USD
1635,CVCY,Central Valley Community Bancorp,2022-04-20,2022-03-31,0.45,USD
1638,CVET,Covetrus Inc,2022-05-04,2022-03-31,0.24,USD
1639,CVGI,Commercial Vehicle Group Inc,2022-03-07,2021-12-31,0.17,USD
1641,CVGW,Calavo Growers Inc,2022-03-09,2022-01-31,0.05,USD
1642,CVI,CVR Energy Inc,2022-05-02,2022-03-31,0.16,USD
1643,CVLG,Covenant Logistics Group Inc - Class A,2022-04-25,2022-03-31,0.86,USD
1644,CVLT,Commvault Systems Inc,2022-05-02,2022-03-31,0.63,USD
1650,CVS,CVS Health Corp,2022-05-02,2022-03-31,2.15,USD
1656,CVX,Chevron Corp,2022-04-28,2022-03-31,2.83,USD
1657,CW,Curtiss-Wright Corp,2022-05-03,2022-03-31,1.46,USD
1658,CWAN,Clearwater Analytics Holdings Inc Class A,2022-03-02,2021-12-31,0.05,USD
1659,CWBC,Community West Bancshares,2022-05-02,2022-03-31,0.38,USD
1664,CWCO,Consolidated Water Co. Ltd,2022-03-30,2021-12-31,0.07,USD
1668,CWH,Camping World Holdings Inc - Class A,2022-05-02,2022-03-31,1.41,USD
1673,CWST,Casella Waste Systems Inc - Class A,2022-04-27,2022-03-31,0.11,USD
1674,CWT,California Water Service Group,2022-04-27,2022-03-31,0.08,USD
1682,CXW,CoreCivic Inc,2022-05-03,2022-03-31,0.2,USD
1684,CYBE,Cyberoptics Corp,2022-04-04,2022-03-31,0.37,USD
1687,CYH,Community Health Systems Inc,2022-04-26,2022-03-31,0.15,USD
1694,CZFS,CZFS,2022-04-21,2022-03-31,1.71,USD
1695,CZNC,Citizens & Northern Corp,2022-05-05,2022-03-31,0.4,USD
1697,CZWI,Citizens Community Bancorp Inc MD,2022-04-25,2022-03-31,0.36,USD
1698,D,Dominion Energy Inc,2022-05-02,2022-03-31,1.15,USD
1699,DAC,Danaos Corporation,2022-05-09,2022-03-31,6.11,USD
1710,DAR,Darling Ingredients Inc,2022-02-28,2021-12-31,0.88,USD
1718,DBI,Designer Brands Inc - Class A,2022-03-14,2022-02-28,0.15,USD
1722,DBX,Dropbox Inc - Class A,2022-05-04,2022-03-31,0.37,USD
1725,DCGO,DocGo Inc,2022-03-28,2021-12-31,0.02,USD
1727,DCI,Donaldson Co. Inc,2022-03-02,2022-01-31,0.62,USD
1728,DCO,Ducommun Inc,2022-05-02,2022-03-31,0.71,USD
1729,DCOM,Dime Community Bancshares Inc,2022-04-28,2022-03-31,0.84,USD
1730,DCP,DCP Midstream LP,2022-05-03,2022-03-31,0.82,USD
1732,DCT,Duck Creek Technologies Inc,2022-04-04,2022-02-28,0.01,USD
1736,DDD,3D Systems Corp,2022-02-28,2021-12-31,0.04,USD
1741,DDOG,Datadog Inc - Class A,2022-05-04,2022-03-31,0.11,USD
1743,DDS,Dillard`s Inc - Class A,2022-05-11,2022-04-30,5.28,USD
1744,DE,Deere & Company,2022-05-20,2022-04-30,6.73,USD
1745,DEA,Easterly Government Properties Inc,2022-02-28,2021-12-31,0.1,USD
1747,DECK,Deckers Outdoor Corp,2022-05-18,2022-03-31,1.32,USD
1748,DEI,Douglas Emmett Inc,2022-05-02,2022-03-31,0.12,USD
1749,DELL,Dell Technologies Inc - Class C,2022-05-25,2022-04-30,1.45,USD
1750,DENN,Denny`s Corp,2022-05-02,2022-03-31,0.13,USD
1756,DFH,Dream Finders Homes Inc - Class A,2022-03-14,2021-12-31,0.52,USD
1758,DFIN,Donnelley Financial Solutions Inc,2022-04-18,2022-03-31,0.96,USD
1759,DFS,Discover Financial Services,2022-04-19,2022-03-31,3.68,USD
1760,DG,Dollar General Corp,2022-03-16,2022-01-31,2.56,USD
1762,DGICA,Donegal Group Inc - Class A,2022-04-25,2022-03-31,0.12,USD
1763,DGII,Digi International Inc,2022-05-03,2022-03-31,0.33,USD
1769,DGX,Quest Diagnostics Inc,2022-04-20,2022-03-31,3.0,USD
1771,DHI,D.R. Horton Inc,2022-04-20,2022-03-31,3.37,USD
1773,DHR,Danaher Corp,2022-04-20,2022-03-31,2.66,USD
1778,DIN,Dine Brands Global Inc,2022-03-02,2021-12-31,1.25,USD
1780,DIOD,Diodes Inc,2022-05-04,2022-03-31,1.54,USD
1781,DIS,Walt Disney Co (The),2022-05-11,2022-03-31,1.19,USD
1782,DISCA,Discovery Inc - Class A,2022-04-26,2022-03-31,0.57,USD
1783,DISH,Dish Network Corp - Class A,2022-04-27,2022-03-31,0.79,USD
1787,DKL,Delek Logistics Partners LP,2022-05-02,2022-03-31,1.01,USD
1789,DKS,Dicks Sporting Goods Inc,2022-03-08,2022-02-28,3.43,USD
1790,DLA,Delta Apparel Inc,2022-05-04,2022-03-31,0.76,USD
1791,DLB,Dolby Laboratories Inc - Class A,2022-05-02,2022-03-31,0.8,USD
1792,DLHC,DLH Holdings Corp,2022-05-03,2022-03-31,0.33,USD
1794,DLNG,Dynagas LNG Partners LP,2022-03-14,2021-12-31,0.21,USD
1795,DLR,Digital Realty Trust Inc,2022-04-27,2022-03-31,0.28,USD
1798,DLTR,Dollar Tree Inc,2022-03-01,2022-02-28,1.76,USD
1799,DLTR,Dollar Tree Inc,2022-03-02,2022-01-31,1.77,USD
1801,DLX,Deluxe Corp,2022-05-04,2022-03-31,1.11,USD
1808,DMS,Digital Media Solutions Inc - Class A,2022-03-14,2021-12-31,0.02,USD
1812,DNB,Dun & Bradstreet Holdings Inc,2022-05-03,2022-03-31,0.23,USD
1819,DNOW,NOW Inc,2022-05-03,2022-03-31,0.09,USD
1820,DOC,Physicians Realty Trust,2022-05-03,2022-03-31,0.07,USD
1822,DOCU,DocuSign Inc,2022-03-09,2022-01-31,0.47,USD
1826,DOOO,BRP Inc,2022-03-23,2022-01-31,1.98,USD
1827,DOOR,Masonite International Corp,2022-05-02,2022-03-31,2.0,USD
1828,DORM,Dorman Products Inc,2022-04-25,2022-03-31,1.19,USD
1829,DOV,Dover Corp,2022-04-18,2022-03-31,1.84,USD
1830,DOW,Dow Inc,2022-04-21,2022-03-31,1.91,USD
1831,DOX,Amdocs Ltd,2022-05-10,2022-03-31,1.25,USD
1842,DPZ,Dominos Pizza Inc,2022-03-01,2021-12-31,4.28,USD
1844,DQ,Daqo New Energy Corp,2022-03-07,2021-12-31,4.58,USD
1847,DRE,Duke Realty Corp,2022-04-26,2022-03-31,0.19,USD
1851,DRI,Darden Restaurants Inc,2022-03-23,2022-02-28,2.13,USD
1865,DSEY,Diversey Holdings Ltd,2022-03-09,2021-12-31,0.13,USD
1869,DSKE,Daseke Inc,2022-05-05,2022-03-31,0.13,USD
1879,DT,Dynatrace Inc,2022-05-10,2022-03-31,0.15,USD
1880,DTE,DTE Energy Company,2022-04-25,2022-03-31,2.03,USD
1889,DUK,Duke Energy Corp,2022-05-09,2022-03-31,1.31,USD
1895,DV,DoubleVerify Holdings Inc,2022-03-08,2021-12-31,0.11,USD
1896,DVA,DaVita Inc,2022-04-27,2022-03-31,1.89,USD
1901,DVN,Devon Energy Corp,2022-05-02,2022-03-31,1.44,USD
1904,DX,Dynex Capital Inc,2022-04-26,2022-03-31,0.45,USD
1905,DXC,DXC Technology Company,2022-05-24,2022-03-31,1.01,USD
1906,DXCM,Dexcom Inc,2022-04-27,2022-03-31,0.54,USD
1907,DXLG,Destination XL Group Inc,2022-03-17,2022-02-28,0.16,USD
1908,DXPE,DXP Enterprises Inc,2022-03-07,2021-12-31,0.14,USD
1919,EA,Electronic Arts Inc,2022-05-10,2022-03-31,1.43,USD
1921,EAF,GrafTech International Ltd,2022-05-03,2022-03-31,0.45,USD
1924,EARN,Ellington Residential Mortgage REIT,2022-03-07,2021-12-31,0.31,USD
1928,EAT,Brinker International Inc,2022-05-04,2022-03-31,1.03,USD
1930,EBAY,EBay Inc,2022-04-26,2022-03-31,1.03,USD
1931,EBC,Eastern Bankshares Inc,2022-04-27,2022-03-31,0.27,USD
1932,EBF,Ennis Inc,2022-04-18,2022-02-28,0.33,USD
1934,EBS,Emergent Biosolutions Inc,2022-04-27,2022-03-31,0.82,USD
1939,ECL,Ecolab Inc,2022-04-25,2022-03-31,0.87,USD
1942,ECOM,ChannelAdvisor Corp,2022-05-04,2022-03-31,0.15,USD
1945,ECPG,Encore Capital Group Inc,2022-05-03,2022-03-31,2.04,USD
1948,ED,Consolidated Edison Inc,2022-05-04,2022-03-31,1.48,USD
1949,EDAP,EDAP TMS S.A.,2022-03-28,2021-12-31,0.01,USD
1956,EDUC,Educational Development Corp,2022-05-16,2022-02-28,0.02,USD
1957,EEFT,Euronet Worldwide Inc,2022-04-26,2022-03-31,0.75,USD
1964,EFC,Ellington Financial Inc,2022-05-03,2022-03-31,0.45,USD
1971,EFX,Equifax Inc,2022-04-19,2022-03-31,2.16,USD
1973,EGBN,Eagle Bancorp Inc (MD),2022-04-19,2022-03-31,1.07,USD
1977,EGHT,8X8 Inc,2022-05-09,2022-03-31,0.01,USD
1978,EGLE,Eagle Bulk Shipping Inc,2022-03-03,2021-12-31,6.0,USD
1983,EGP,Eastgroup Properties Inc,2022-04-25,2022-03-31,0.82,USD
1985,EGRX,Eagle Pharmaceuticals Inc,2022-02-28,2021-12-31,0.94,USD
1987,EGY,VAALCO Energy Inc,2022-03-07,2021-12-31,0.24,USD
1990,EHC,Encompass Health Corp,2022-04-25,2022-03-31,0.91,USD
1992,EHTH,eHealth Inc,2022-03-01,2021-12-31,0.94,USD
1996,EIG,Employers Holdings Inc,2022-04-20,2022-03-31,0.53,USD
2001,EL,Estee Lauder Cos. Inc - Class A,2022-05-03,2022-03-31,1.68,USD
2002,ELA,Envela Corp,2022-03-21,2021-12-31,0.09,USD
2004,ELAN,Elanco Animal Health Inc,2022-05-05,2022-03-31,0.37,USD
2012,ELF,e.l.f. Beauty Inc,2022-05-24,2022-03-31,0.06,USD
2018,ELMD,Electromed Inc,2022-05-09,2022-03-31,0.05,USD
2025,ELS,Equity Lifestyle Properties Inc,2022-04-18,2022-03-31,0.39,USD
2028,ELVT,Elevate Credit Inc,2022-05-02,2022-03-31,0.1,USD
2029,ELY,Callaway Golf Company,2022-05-09,2022-03-31,0.23,USD
2033,EMKR,Emcore Corp,2022-05-03,2022-03-31,0.03,USD
2035,EMN,Eastman Chemical Company,2022-04-27,2022-03-31,2.29,USD
2036,EMR,Emerson Electric Company,2022-05-03,2022-03-31,1.18,USD
2038,ENB,Enbridge Inc,2022-05-05,2022-03-31,0.66,USD
2041,ENDP,Endo International plc,2022-02-28,2021-12-31,0.67,USD
2045,ENLC,Enlink Midstream LLC,2022-05-02,2022-03-31,0.04,USD
2046,ENPH,Enphase Energy Inc,2022-04-25,2022-03-31,0.66,USD
2047,ENR,Energizer Holdings Inc,2022-05-09,2022-03-31,0.42,USD
2049,ENS,Enersys,2022-05-18,2022-03-31,1.16,USD
2050,ENSG,Ensign Group Inc,2022-04-27,2022-03-31,0.97,USD
2054,ENTG,Entegris Inc,2022-04-25,2022-03-31,0.99,USD
2058,ENVA,Enova International Inc,2022-04-27,2022-03-31,1.53,USD
2065,EPAC,Enerpac Tool Group Corp - Class A,2022-03-22,2022-02-28,0.13,USD
2066,EPAM,EPAM Systems Inc,2022-05-04,2022-03-31,2.63,USD
2068,EPC,Edgewell Personal Care Company,2022-05-04,2022-03-31,0.6,USD
2069,EPD,Enterprise Products Partners L P,2022-05-02,2022-03-31,0.53,USD
2071,EPM,Evolution Petroleum Corporation,2022-05-09,2022-03-31,0.27,USD
2072,EPR,EPR Properties,2022-05-03,2022-03-31,0.39,USD
2073,EPRT,Essential Properties Realty Trust Inc,2022-05-02,2022-03-31,0.22,USD
2074,EPSN,Epsilon Energy Ltd,2022-03-23,2021-12-31,0.1,USD
2079,EQBK,Equity Bancshares Inc - Class A,2022-04-18,2022-03-31,0.64,USD
2082,EQH,Equitable Holdings Inc,2022-05-03,2022-03-31,1.56,USD
2083,EQIX,Equinix Inc,2022-04-26,2022-03-31,1.67,USD
2084,EQR,Equity Residential Properties Trust,2022-04-25,2022-03-31,0.25,USD
2085,EQT,EQT Corp,2022-05-03,2022-03-31,0.76,USD
2086,EQX,Equinox Gold Corp,2022-03-01,2021-12-31,0.17,USD
2099,ES,Eversource Energy,2022-05-09,2022-03-31,1.2,USD
2103,ESE,Esco Technologies Inc,2022-05-02,2022-03-31,0.58,USD
